chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
No I didn't!,1,"[""Monica: You said you loved me! I can't believe this!""]"
No I didn't!,1,"['Monica: Yes, you did!']"
No I don't! Stop it! Stop it! Stop it! Stop it!,1,['Monica: You love me!']
Top of the world? Dock of the bay? (He tries to think of another but can't) I'm out.,5,"[""[Scene: The Western front during World War I, Phoebe, in yet another past life, is once again a nurse tending to yet another dying soldier. But this time she's doing it with a French accent.]"", 'French Phoebe: Gauze! Gauze! I need to get some gauze in here! Can I please get some gauze in here! (A shell explodes outside next to the tent and when the smoke clears, Phoebe still has her arm.) Whew! (Her arm falls off and starts pumping out blood.) This is getting ridiculous uh!', 'Written by: Andrew Reich & Ted Cohen Transcribed by: Eric Aasen', ""[Scene: Monica and Rachel's, the entire gang is there, eating breakfast. Phoebe is on the couch, fidgeting.]"", 'Phoebe: What am I sitting on?']"
"Well, they're Joey's! They gotta be Joey's!",3,"['Phoebe: (taking something out of the couch) Ew-eww!! Undies!', ""Rachel: All right! Who's are they? Who's are they?"", ""Ross: Well, they're not mine!""]"
See? They're Joey's! J-J-J-J-J-Joey's!,1,"[""Joey: Yeah, they're mine.""]"
Yeah!,3,"['Ross: Why are they here?', ""Joey: I don't know uhh (Pause as he thinks about it.) Well, I'm Joey. Yeah, I'm disgusting, I take my underwear off in other people's homes."", ""Rachel: Well, get 'em out of here! What's wrong with you?""]"
(interrupting him) All this lying has been hard on us too.,8,"['Monica: Yeah!', ""Rachel: (waving them in his face) Take 'em! (Joey makes a noise and jumps out of the way.) Joey, you can touch them! They're your underwear."", 'Joey: (reluctantly taking them) Chandler? A word.', ""Joey: That's it! I'm tired of covering for you two! This has got to stop! (Realizes he still has the underwear in his hand.) Ahh! (Throws them towards Chandler's room.) And tighty-whiteys! What are you, 8?"", 'Monica: (entering) Thank you Joey, thank you so much!', ""Joey: Oh hey, no, you're not welcome. Okay, look, I hate this! You guys keep embarrassing me! (To Monica) Yesterday, Rachel found your razor in our bathroom and I didn't know what to say, so I said it was mine and-and that I was playing a woman in a play. And one thing led to another and (He puts his leg on the chair and pulls up his pants leg to reveal that he now has shaved legs.)"", ""Monica: (inspecting his leg) Wow! And around the ankles, y'know that is a tough spot."", ""Joey: Yeah, it was! All right, listen, I can't""]"
"Well, yeah actually.",1,"['Joey: Oh-oh, yeah-yeah, I bet all the sex makes it easier!']"
"I know it sounds really weird, but we're just so bad at relationships.",1,"[""Monica: We'll try to be more careful okay? It's just that, we don't want everyone to know because this is going really well, and maybe the reason it's going really well is because it's a secret.""]"
Help!,1,['Monica: We are! Help us!']
"Hi, Pheebs!",5,"['Joey: All right! But, (To Monica) you do it with me once.', 'Monica: Joey!', ""Joey: Didn't think so."", '[Scene: Central Perk, Joey, Chandler, Monica, and Rachel are there as Phoebe enters with her nose stuck in a book.]', 'Monica: Hey, Phoebe!']"
I didn't know you were taking a class. That is so cool.,4,"['Rachel: Hey, Pheebs!', 'Joey: Hey, Pheebs!', 'Rachel: What are you reading?', ""Phoebe: Umm, Wethering Heights. I'm taking a literature class at the New School and I have to finish it for the first session tomorrow.""]"
"Well, what did the police say?",10,"[""Phoebe: Yeah! Well, I really liked that Lamaze class I took! Y'know and this time I thought I'd go for something, y'know a little more intellectual, with a less painful final exam."", 'Rachel: Honey that sounds like fun.', ""Phoebe: Yeah! Ooh, you should come with me! Oh yeah, then I'd have someone to sit with!"", 'Rachel: Okay.', 'Phoebe: Yeah! Okayooh, but are you going to have time to read it?', 'Rachel: Oh, I read that in high school.', 'Phoebe: This is going to be so much fun! Okay-shhh, I have to finish.', 'Ross: (entering, depressed) Hi.', ""Joey: What's wrong buddy?"", 'Ross: Someone at work ate my sandwich!']"
"Ross, it's just a sandwich!",1,"[""Ross: My Thanksgiving leftover sandwich. I can't believe someone ate it!""]"
"(reading) Knock-knock. Who's there? Ross Geller's lunch. Ross Geller's lunch, who? Ross Geller's lunch, please don't take me. Okay?",3,"[""Ross: Just a sandwich? Look, I am 30 years old, I'm about to be divorced twice and I just got evicted! That sandwich was the only good thing going on in my life! Someone ate the only good thing going on in my life!"", 'Monica: Okay, look, I-I have enough stuff for one more sandwich, I mean I was going to eat it myself, but (motions that he can have it.)', ""Ross: (quietly) That-that would be incredible. Thank you so much. I-I still can't believe someone ate it!! I mean, look, I left a note and everything.""]"
"Say Ross, when you picture Phoebe living on the street, is she surrounded by the entire cast of Annie?",3,"[""Joey: I'm surprised you didn't go home wearing your lunch."", 'Phoebe: Okay, look you wanna hold onto your food? You gotta scare people off. I learned that living on the street.', 'Ross: Really?! So what would you say Pheebs? Stuff like uh, ""Keep your mitts off my grub?""']"
What is going on here?,10,"['[Scene: The hallway, Joey is returning from a date with Cynthia.]', ""Cynthia: God, this was really fun! I've been wondering if you were going to ask me out."", 'Joey: So you uh, still wondering?', 'Cynthia: No, we just went out.', ""Joey: You're smart. I like that."", 'Cynthia: Oh, candles! (Notices something.) What is that? A blanket? A video camera? Oh my God! (As she storms out, Rachel returns and overhears the conversation.)', 'Joey: Oh no-no-no-no, wait-wait-wait!!', ""Cynthia: I can't believe you thought that you were going to video tape us having sex on the first date! (She storms away and Rachel enters to confront Joey.)"", 'Joey: Hiya.', 'Rachel: Joey, is what she just said ummOh my God. (Looks around the room.) You were actually gonna (Chandler picks this moment to return to the living room.) (Rachel stares in shock.)']"
Yeah.,5,"['Rachel: And with Chandler in the next room. What are you, what are you sick?', ""Joey: I'm Joey. I mean, I'm disgusting. I make low-budget adult films. (Points at Chandler, angrily.)"", ""[Scene: Chandler, Joey, and Ross's; continued from earlier. Joey is closing the door after Rachel leaves and is about to confront Chandler and Monica.]"", ""Joey: You guys promised you'd be more careful! I mean, come on! The good Joey name is being dragged through the mud here!"", ""Monica: We're so sorry.""]"
"No-no, wait! There's got to be a better explanation. You can tell them you had to make an adult film for your (Thinks) adult film class.",1,"[""Joey: Well, I'm telling everyone about you! That's the only way to explain the underwear and the video camera that doesn't make me look like a pig!""]"
OhI don't know.,1,"['Joey: Yeah, I like that. But no-no, how does that explain why Rachel found my underwear at your place?']"
Hey.,10,"[""Phoebe: Fine! Okay, all right, so Jane Eyre, first of all, you'd think she's a woman, but she's not. She's a cyborg."", ""Rachel: A cyborg?! Isn't that like a robot?!"", 'Phoebe: Yeah, this book was light years ahead of its time.', ""The Teacher: (entering) Sorry I'm late. Let's get started. So, what did everybody think about Jane Eyre?"", 'Phoebe: Umm, Rachel and I were just discussing it and she had some very interesting insights.', 'The Teacher: Well, go ahead Rachel.', 'Rachel: Uh, thank you Phoebe. Umm, well, what struck me most when reading Jane Eyre was uh, how the book was so ahead of its time.', ""The Teacher: If you're talking about feminism, I think you're right."", 'Rachel: Yeah, well, feminism yes, but also the robots.', '[Scene: Central Perk, Chandler is on the couch as Monica joins him.]']"
(gasps) You're naked in this picture!,1,"[""Monica: Hey. Okay, so umm, since that video camera thing didn't work out uh, I thought that I would give you just a little preview. (Hands him a Polaroid.)""]"
Ross?,1,['Monica: I know.']
"Which I may say, right now, is out of control.",5,"['Ross: (in a stupor) Hey Chandler. (Sees Monica.) Monica!', 'Monica: Ross, are you okay?', ""Ross: I'm fine! I saw a psychiatrist at work today."", 'Monica: Why?!', 'Ross: On account of my rage.']"
And you're okay with that?,4,"['Ross: He gave me a pill for it.', 'Monica: A pill?', 'Ross: Uh-huh. Well, when the psychiatrist told me I had to take a leave of absence because I yelled at my boss I started to get worked up again, so he offered me a tranquilizer. And I thought was a good idea so, I took it.', ""Monica: Wait a minute, they're making you take time off work?""]"
(Sees the picture) Oh no! No! No! No! (Monica gasps as well.),10,"[""Rachel: Ohh. Oh, so you really wanted to learn. Yeah, y'know, Pheebs I just wanted to have fun. Ohh, you know who you should go with?"", ""[Scene: The Class; Monica has taken Rachel's spot.]"", 'Monica: (yelling and waving her hand in the air) I know! I know! I know!', 'The Teacher: Monica, you asked the question.', ""[Scene: Chandler, Joey, and Ross's; Joey returns carrying a bucket of chicken, and starts going through the mail. While doing this, Monica's picture falls out. He bends over to pick it up and gasps. While he's staring at the picture, Rachel decides to come over and sees him looking at the picture.]"", ""Rachel: (sees the picture) Oh my God! That's Monica!!"", 'Joey: Oh no-no-no! No-no-no-no-no-no-no!', 'Rachel: You get away from me!! You sick, sick, sick, sick-o!!', ""Ross: (entering, with the rest of the gang) What's going on?"", 'Rachel: Joey has got a secret peephole!']"
"All right, look! Look. I think I can explain this.",6,"['Rachel: Yes! He has a naked picture of Monica! He takes naked pictures of us! And then he eats chicken and looks at them!', 'Rachel: Look! (Shows Ross the picture.)', ""Ross: (covering his eyes) Dude! That's my sister! (She shows the rest of the gang.)"", 'Monica: (grabbing the picture) Give me that!', ""Phoebe: All right, wait! Just wait. Everybody just calm down. Okay? Let's give our friend Joey a chance to explain why he's such a big pervert!"", ""Joey: No! I am not a pervert! Okay? It's just I just Kinda""]"
Joey's a sex addict.,1,['Joey: Thank you!']
Well let's.let's see what everybody thinks of that?,9,"[""Joey: What?!! (He turns around and stares at Chandler who's silently pleading with Joey to go along with it.) No I'm not!!"", ""Monica: It's okay! It's good! It's good. It's a disease!"", 'Joey: No! No! I am not a sex addict!', ""Monica: Yes you are! That's the only way to explain all this stuff!"", ""Joey: No it isn't! No, it's not. Because you can also explain it with the truth!"", 'Rachel: Well, what is the truth?', ""Ross: Yeah, what's going on?"", ""Phoebe: What's going on?"", 'Joey: (thinking) I slept with Monica.']"
Are you sure Joe? Are you sure you're not just a sex addict?,10,"['Ross: You slept with my sister?', 'Joey: Uh yes, but it was, we just did it once uh, in London.', 'Ross: This is not good for my rage. (Takes another pill.)', 'Rachel: Monica, is this true?', ""Joey: Of course it's true! How else would you explain all the weird stuff that's been going on?"", ""Monica: Yes it's true."", 'Rachel: Okay, but if it only happened that one time, how come we found your underwear in our apartment the other day?', 'Joey: Ahhoy! That was the underwear I was wearing that night in London. Right Monica?', 'Monica: I guess I wanted to keep it (Pause) as a souvenir.', 'Ross: My God Monica!!']"
"(Answering the phone at work) Hello, Chandler Bing.",10,"[""[Scene: Chandler, Joey, and Ross's apartment, Ross is cleaning out the fridge. Joey walks from his room. He looks like he just woke up.]"", 'Joey: What are you doing?', 'Ross: I...reorganized the fridge. See, bottom shelf: meats and dairy. (Theres nothing on the shelf.) Middle shelf: fruits and vegetables. (Theres one lone tomato.) And top shelf: expired products. (The shelf is jammed packed.)', 'Joey: Why are you doing this?', 'Ross: Because I am bored...Out of my mind. Ive already been to the bank, post office, and the dry cleaners.', 'Joey: Dude, you just described seven days worth of stuff. Youve got to spread it out a little, you know. Havent you ever been unemployed?', 'Ross: Hey, I am not unemployed. Im on sabbatical!', 'Joey: Hey, dont get religious on me, ok. (Ross looks a little confused.) A guy in your position needs to be a little better at relaxing. You know. Why do you think we have the comfortable chairs? Huh...come heresit down. (Ross sits down.) Ready? (Joey flips the foot rest up.) Ahh!! (He reclines the chair fully.) Ohh, yeah!! Huh?!', 'Ross: So what, we just sit?', 'Joey: Ohh, no, no. Were not going to just sit. (Joey sits down and hits the speed dial button on the phone.) Shhh. (It begins to ring.)']"
